1;Lorem ipsum dolor sit amet, steht für Blindtext welcher verwendet wird um Textfelder im Design zu prüfen ohne das der Inhalt von der eigentlichen Aufgabe ablenkt?;Ja
4;Wie nennt man den Gewinn, den eine Aktiengesellschaft periodisch an die Aktionäre ausschüttet?;Dividende;
4;Wie nennt man den inneren Durchmesser des Laufes einer Schusswaffe?;Kaliber;
4;Wie nennt man den Leiter eines Theaters?;Intendant;
4;Wie nennt man den Zustand einer berauschten Stimmung?;Euphorie;
4;Wie nennt man die Geschlechtszellen von Farnen?;Sporen;
4;Wie nennt man einen Judo-Kämpfer?;Judoka;
4;Wie nennt man einen säulenartigen, mehrarmigen Ständer für Kerzen und Lampen?;Kandelaber;
4;Wie nennt man einen sehr einflussreichen, mächtigen Geschäftsmann?;Tycoon;
4;Wie nennt man in der Fotografie ein Superweitwinkelobjektiv?;Fischauge;
4;Wo feierte Michael Schumacher 1992 seinen ersten Formel-1-Sieg?;Spa-Francochamps;
4;Wo versteckt sich das einzige der sieben Geißlein, das nicht vom Wolf gefressen wurde?;Uhrkasten;
4;Wofür stehen die fünf olympischen Ringe?;fünf Kontinente;
4;Womit hat es ein Kavalier in der ursprünglichen Bedeutung des Wortes zu tun?;Pferde;
4;Wovon ernähren sich Koalas fast ausschließlich?;Eukalyptus;
4;Zu welchem Staatsgebiet gehört die Region Masuren?;Polen;
4;Zu welcher Sprachgruppe gehören Französich, Italienisch und Spanisch?;romanische Sprachen;
5;An welchem Tag öffnete die Regierung der DDR die Berliner Mauer?;9.November 1989;
5;Bei welcher Band spielen Angus und Malcolm Young Gitarre?;AC/DC;
5;Die Wissenschaft von der englischen Sprache und Literatur nennt man ...?;Anglistik;
5;Durch welches System werden Verkehrsdurchsagen im Autoradio automatisch eingestellt?;ARI;
5;In welchem Monat beginnt auf der Südhalbkugel der Erde der Frühling?;September;
5;In welcher Stadt gibt es eine Museumsinsel?;Berlin;
5;Markenzeichen welcher Band sind die langen Bärte von Billy Hill und Dusty Gibbons?;ZZ Top;
5;Mit welchem Titel werden Kardinäle angeredet?;Eminenz;
5;Regen an welchem Tag bedeutet nach einer Bauernregel sieben Wochen schlechtes Wetter?;Siebenschläfer;
5;Um was für ein Tier handelt es sich beim Beluga?;Wal ;
5;Von welchem Schriftsteller stammen die Romane Der Seewolf und Der Lockruf des Goldes?;Jack London;
5;Von welchem Vogel handelt das Volkslied, aus dem die Zeile Simsaladimbambasaladusaladim stammt?;Kuckuck;
5;Wann verspeist man einen Lunch?;mittags;
5;Was bedeutet der französische Begriff Amateur im ursprünglichen Sinne des Wortes?;Liebhaber;
5;Was bezeichnet man in der Medizin als Fraktur?;Knochenbruch;
5;Was entspricht der Hälfte des Durchmessers eines Kreises?;Radius;
5;Was für ein Landsmann war der Schriftsteller Max Frisch?;Schweizer;
5;Was hat Alfred Nobel, der Stifter des Nobelpreises, erfunden?;Dynamit;
5;Was ist die englische Bezeichnung für Wiegenlied?;Lullaby;
5;Was ist die Kochfeste Sieglinde?;Kartoffelsorte;
5;Was ist die mittlere Reife?;Realschulabschluss;
5;Was ist ein Dompfaff?;Singvogel;
5;Was ist ein Falsifikat?;Fälschung;
5;Was ist ein Korso?;Festlicher Umzug;
5;Was meint ein Arzt, wenn er von Kammerflimmern spricht?;Herzrhythmusstörungen;
5;Was muß ein alkoholisches Mixgetränk, das man Flip nennt, auf jeden Fall enthalten?;Ei;
5;Was muß man schreiben, ehe man sich mit einem Doktotitel schmücken darf?;Dissertation;
5;Was müsste man eigentlich serviert bekommen, wenn man Pommes Frites bestellt?;gebratene Äpfel;
5;Was sind die Dardanellen im Nordwesten der Türkei?;Meeresstraße;
5;Welche Abkürzung steht für Kommanditgesellschaft?;KG;
5;Welche der folgenden Figuren stammt nicht aus den Bildergeschichten um den Bären Petzi?;Tigger;
5;Welche deutsche Großstadt wurde erst 1938 gegründet?;Wolfsburg;
5;Welche dieser Popsängerinnen war in dem Film Body of Evidence zu sehen?;Madonna;
5;Welche dieser Städte liegt nicht an der Cote d´Azur?;Bordeaux;
5;Welche französische Stadt diente im 14. Jahrhundert zeitweise als Residenz der Päpste?;Avignon;
5;Welche Kunst verbirgt sich hinter dem Begriff Ikebana?;Blumenstecken;
5;Welche rumänische Landschaft wird im Norden, Osten und Süden von den Karpaten begrenzt?;Siebenbürgen;
5;Welche Währung gilt in Entenhausen?;Taler;
5;Welchen Namen trug Thailand bis 1939?;Siam;
5;Welchen Zeitavschnitt bezeichnet man als Fin de Siecle?;Ende des 19. Jh.;
5;Welcher brave Soldat erlebte in einem Roman von Jaroslav Hasek Abenteuer im 1. Weltkrieg?;Schwejk;
5;Welcher der folgenden Begriffe bezeichnet kein Gewürz, sondern eine Gewürzmischung?;Curry;
5;Welcher der folgenden Begriffe bezeichnet keine Computersprache?;SECAM;
5;Welcher der folgenden Begriffe bezeichnet keine Wolke?;Stradivarius;
5;Welcher Fluss fließt durch Florenz?;Arno;
5;Welcher Fluß fließt nicht durch Berlin?;Leine;
5;Welcher Kabarettist bezeichnete sich selbst als schwarzes Schaf vom Niederrhein?;Hanns Dieter Hüsch;
5;Welcher Staat nannte sich Ende des 18. Jahrhunderts Helvetische Republik?;Schweiz;
5;Welcher Tänzer und Schauspieler wurde 1899 als Frederick Austerlitz geboren?;Fred Astaire;
5;Welcher Tätigkeit verdankt Kate Bush Ruhm und Geld?;singen;
5;Welches der folgenden Länder ist kein Nachfolgestaat der Sowjetunion?;Slowenien;
5;Welches der folgenden Wörter ist kein Kompositum?;Klingel;
5;Wen oder was losse mer laut einem Karnevalsschlager der Bläck Fööss in Kölle?;Dom;
5;Wer hat 1934 eine elektrische Orgel erfunden?;Laurens Hammond;
5;Wer setzte vor dem Computerzeitalter die Druckplatten für Zeitungen zusammen?;Setzer;
5;Wer spielt in der Fernsehserie Manni, der Libero Manni, den Libero?;Thomas Ohrner;
5;Wer spielte den durchgeknallten Tierdetektiv Ace Ventura?;Jim Carrey;
5;Wer spielte den J.R. Ewing in der Serie Dallas?;Larry Hagman;
5;Wie bezeichnet man eine Maschine, die ohne Zufuhr von Energie ständig arbeitet?;Perpetuum mobile;
5;Wie heißt der Hauptdarsteller und Regisseur des Films Der mit dem Wolf tanzt?;Kevin Costner;
5;Wie heißt der Nachbarstaat von San Marino?;Italien;
5;Wie heißt der nordöstliche Teil des Rheinischen Schiefergebirges?;Sauerland;
5;Wie heißt die größte Stadt Westfalens?;Dortmund;
5;Wie heißt die Landeshauptstadt von Hessen?;Wiesbaden;
5;Wie heißt Draculas berühmter Gegenspieler?;Abraham van Helsing;
5;Wie hieß das Schiff von Meeresforscher Jaques-Yves Cousteau?;Calypso;
5;Wie hieß die Oppositionsbewegung gegen den Absolutismus im Frankreich des 17. Jahrhunderts?;Fronde;
5;Wie hieß Muhammed Ali, bevor er den islamischen Glauben annahm?;Cassius Clay;
5;Wie lang ist der Rhein?;1320 Kilometer;
5;Wie lautet der Nachname der Pro-Sieben-Talkerin Arabella?;Kiesbauer;
5;Wie lautet der Name Finnlands in der Landessprache?;Suomi;
5;Wie lautet der Titel einer sinfonischen Dichtung des Komponisten Bedrich Smetana?;Die Moldau;
5;Wie nennt man das Kontrollorgan einer Aktiengesellschaft?;Aufsichtsrat;
5;Wie nennt man das schwarz verhängte Gerüst, auf dem bei Trauerfeierlichkeiten der Sarg steht?;Katafalk;
5;Wie nennt man die groteske Komik, die für die amerikanische Stummfilmkomödie typisch war?;Slapstick;
5;Wie nennt man die Schalen, Keime und äußeren Schichten von Getreidekörnern?;Kleie;
5;Wie nennt man die Zeitspanne zwischen der Infektion und dem Ausbruch der Krankheit?;Inkubation;
5;Wie nennt man ein Zwischenspiel?;Intermezzo;
5;Wie nennt man im Boxsport einen mit angewinkeltem Arm ausgeführten Schlag?;Haken;
5;Wie wird der längste Breitenkreis der Erde bezeichnet?;Äquator;
5;Wie wird eine kurze, intensive Gymnastikstunde genannt?;Work-Out;
5;Wo endet der legändere Verführer Don Giovanni in Mozarts gleichnamiger Oper?;In der Hölle;
5;Wo liegt die historische Landschaft Aquitanien?;Südfrankreich;
5;Wo versinkt in Rudi Schurikes Schlagerhit aus der Nachkreigszeit die rote Sonne im Meer?;bei Capri;
5;Woher kommt Michel aus Astrid Lindgrens gleichnamigen Kinderbuch?;Lönneberga;
5;Zu welchem Land gehört die Insel Kos?;Griechenland;
5;Zu welchem Staat gehört die Halbinsel Baja California?;Mexiko;
5;Zu welcher Wortgruppe zählen damit, weil, obwohl und als?;Konjunktionen;
5;Zwischen welchen Städten verkehrte die erste deutsche Eisenbahn?;Nürnberg und Fürth;
6;An den Hundstagen ist das Wetter ...?;Heiß;
6;An welchem Tag ist altem rheinischen Liedgut zufolge alles vorbei?;Aschermittwoch;
6;Bei welcher Familie findet Alf auf der Erde Asyl?;Tanner;
6;Der Name welcher Band bedeutet soviel wie in flagranti?;Caught in the act;
6;Durch welches Lied wurde Lale Andersen während des 2.Weltkrieges berühmt?;Lili Marleen;
6;Für welches Produkt ist die bei Venedig gelegene Insel Murano berühmt?;Glas;
6;Gut zu erreichen war James Garner in der TV-Serie Detektiv Rockford- ...?;Anruf genügt;
6;In welchem Bundesland war Uwe Barschel bis 1987 Ministerpräsident?;Schleswig-Holstein;
6;In welchem Land wurde der Politiker Bruno Kreisky 1970 zum Bundeskanzler gewählt?;Österreich ;
6;In welchem See liegt die Insel Mainau?;Bodensee;
6;In welchem US-Bundesstaat liegt das Death-Valley?;Kalifornien;
6;In welcher dieser Städte steht kein Dom?;Wolfsburg;
6;In welcher Maßeinheit werden elektrische Widerstände gemessen?;Ohm;
6;In welcher Stadt befindet sich die Hagia Sophia?;Istanbul;
6;In welcher Stadt hat das Bundesverfassungsgericht seinen Sitz?;Karlsruhe;
6;In welcher Stadt kann man das Hänneschen-Theater besuchen?;Köln;
6;Mit welchem englischen Ausdruck bezeichnet man in der Informatik einen Zwischenspeicher?;Cache;
6;Mit welchem englischen Begriff bezeichnet man das langsame Ausblenden eines Musik-Titels?;Fadeout;
6;Mit welchem komödiantischen Schauspieler bildete Walter Matthau Ein seltsames Paar?;Jack Lemmon;
6;Neapel sehen und ...?;Sterben;
6;Ohne was geht die Mimi laut Schlagersänger Bill Ramsey nie ins Bett?;Krimi;
6;Was bezeichnet man als Boheme?;Künstlergesellschaft;
6;Was bezeichnet man als Kalamet?;Friedenspfeife;
6;Was bezeichnet man im Ruhrgebiet als Rennpferd des kleinen Mannes?;Brieftaube;
6;Was bezeichnet man in der Wirtschaft als Insolvenz?;Zahlungsunfähigkeit;
6;Was bezeichnet man in der Zoologie als Fahne?;Teil der Vogelfeder;
6;Was für ein Landsmann war der Dichter Gottfried Keller?;Schweizer;
6;Was ist ein Diwan?;Liege ohne Lehne;
6;Was ist ein Futteral?;Hülle;
6;Was ist ein in der Denkmalpflege oder im Museumsdienst tätiger Beamter?;Konservator;
6;Was ist ein Sedativ?;Beruhigungsmittel;
6;Was ist Pluralismus?;Meinungsvielfalt;
6;Was sind die drei Grundfarben?;Blau, rot und gelb;
6;Was spricht schon Goethes Heldin Iphigenie gelassen aus?;großes Wort;
6;Was stellt Annemarie Wendel in der Serie Lindenstraße dar?;Else Kling;
6;Was wurde aus der 1898 gegründeten Westdeutschen Benzolverkaufsvereinigung?;Aral;
6;Welche deutsche Country-Band landete mit Ich möchte` so gern Dave Dudley hörn einen Mega-Hit?;Truck Stop;
6;Welche Frucht heißt im Englischen raspberry?;Himbeere;
6;Welche Schauspielerin beendete 1974 ihre Filmkarriere um sich dem Tierschutz zu widmen?;Brigitte Bardot;
6;Welchen pflanzlichen Farbstoff verwenden Chemiker als Indikator?;Lackmus;
6;Welcher der folgenden Künstler ist bei Kindern auch als Mitglied der Ninja Turtles bekannt?;Michelangelo;
6;Welcher der folgenden Stoffe ist kein chemisches Element?;Stahl;
6;Welcher deutsche Regisseur drehte die Filme Die Ehe der Maria Braun und Angst essen Seele auf?;Fassbinder;
6;Welcher dieser Begriffe bezeichnet kein Edelgas?;Natron;
6;Welcher dieser Schauspieler spielt nicht in dem Film Gefährliche Liebschaften?;Brad Pitt;
6;Welcher Fluß fließt nicht in den Rhein?;Regnitz;
6;Welcher Fußball-Bundesligist schaffte nicht den Sprung in die Champions-League-Saison 2000/2001;1860 München;
6;Welcher Schlagerstar fand irgendwo, allein in Mexiko eine Frau namens Anita?;Costa Cordalis;
6;Welches dieser Gedichte stammt nicht von Goethe?;Lied von der Glocke;
6;Welches ist das flächenmäßig größte deutsche Bundesland?;Bayern;
6;Welches Kabarett-Duo bilden Stephanie Überall und Gerburg Jahnke?;Missfits;
6;Welches Meer wird auch als Baltisches Meer bezeichnet?;Ostsee;
6;Welches Weltwunder befand sich auf einer Insel vor Alexandria?;Leuchtturm;
6;Wen erfand James Krüss?;Tim Thaler;
6;Wen spielte Barbara Bel Geddes in der Serie Dallas?;Miss Ellie;
6;Wer gehörte nicht zur britischen Komikertruppe Monty Phyton?;Benny Hill;
6;Wer oder was ist ein Zypriot?;Einwohner von Zypern;
6;Wer schrieb das Lustspiel Minna von Barnheim und das Trauerspiel Emilia Galotti?;Lessing;
6;Wer spielte die Hauptrolle in Theo gegen den Rest der Welt?;Müller-Westernhagen;
6;Wer verfasste den Roman Jurassic Park?;Micheal Crinchton;
6;Wer war laut Cicero der Vater der Geschichtsschreibung?;Herodot;
6;Wie bezeichnet man die größte zusammenhängende Landmasse der Erde?;Eurasien;
6;Wie heißt das große Sumpfgebiet im Süden von Florida?;Everglades;
6;Wie heißt das werktags um 19 Uhr 30 auf PRO7 ausgestrahlte Wissensmagazin?;Galileo;
6;Wie heißt der explodierte Heimatplanet von Superman?;Krypton;
6;Wie heißt die größte Stadt der iberischen Halbinsel?;Madrid;
6;Wie heißt die Steuer auf Waren und Dienstleistungen, die ein Unternehmen im Inland verkauft?;Umsatzsteuer;
6;Wie hieß das Luftschiff, das am 6. Mai 1937 bei der Landung in Lakehurst explodierte?;Hindenburg ;
6;Wie hieß der Maler und Bildhauer Michelangelo mit Nachnamen?;Buonarroti;
6;Wie lange darf beim Handball der Ball höchstens in der Hand behalten werden?;3 Sekunden;
6;Wie lautet der deutsche Name des Lago Maggiore?;Langensee;
6;Wie lautet der heutige Name der früheren Kolonie Deutsch-Südwestafrika?;Namibia;
6;Wie nennt man den bei der Zuckergewinnung anfallenden zähflüssigen, braunen Rückstand?;Melasse;
6;Wie nennt man den Krawattenknoten, den der englische König Edward VIII. populär machte?;Windsorknoten;
6;Wie nennt man den Vorgang, wenn Gegenstände durch psychische Anstrengung bewegt werden?;Telekinese;
6;Wie nennt man die Grenze zwischen einer warmen und einer kalten Luftmasse?;Front;
6;Wie nennt man einen andauernden Kursrückgang an der Börse?;Baisse;
6;Wieviele Ecken hat ein Hexagon?;6;
6;Wieviele Quadratmeter sind ein Hektar?;10000 Quadratmeter;
6;Wo leben die für ihre weiche Wolle bekannten Alpakas?;Südamerika;
6;Woher kam laut einer berühmten Journalisten-Floskel der Fußballer Günther Netzer?;Tiefe des Raumes;
6;Woraus besteht heutzutage die Mine eines Bleistifts?;Graphit;
6;Zu welcher Stadt gehört der Stadtteil Fuhlsbüttel?;Hamburg;
7;Auf dem Cover welches Beatles-Album gehen die vier Bandmitglieder über einen Zebrastreifen?;Abbey Road;
7;Bei einem heftigen Wolkenbruch regnet es einer englischen Redewendung zufolge ...?;Katzen und Hunde;
7;Bei welchem Film führte nicht Steven Spielberg Regie?;Krieg der Sterne;
7;Der Sänger welcher Hardrock-Combo ist Steven Tyler?;Aerosmith;
7;Ein neues Erlebnis, von dem man glaubt, es bereits aus der Vergangenheit zu kennen, nennt man?;Deja vu;
7;Im Volkslied Die Vogelhochzeit schenkt der Wiedehopf der Braut ...?;´nen Blumentopf;
7;In welchem Song der Beatles wird ein Mädchen mit Kaleidoskop-Augen besungen?;Lucy in the sky ...;
7;In welcher Sportart werden Strafecken ausgeführt?;Feldhockey;
7;In welcher Stadt leben die Simpsons aus der gleichnamigen Zeichentrick-Serie?;Springfield;
7;In welcher Stadt wurde Friedrich Schiller geboren?;Marbach;
7;Mit welcher dieser Floskeln drückt man Kondolenz aus?;Herzliches Beileid!;
7;Mit welcher Kollegin war Humphrey Bogart verheiratet?;Lauren Bacall;
7;Über welches Tier informierte ein als Professor Grzimek getarnter Loriot die Fernsehzuschauer?;Steinlaus;
7;Unter welchem Spitznamen war Nationaltorhüter Sepp Maier bekannt?;Katze von Anzing;
7;Was bedeutet Alma mater, der studentische Ausdruck für Universität?;Nährende Mutter;
7;Was bedeutet die Abkürzung REW, zum Beispiel auf Video- und Kassettenrecordern?;Rewind;
7;Was bedeutet Toleranz im ursprünglichen Sinne des Wortes?;Erdulden;
7;Was ist ein Bulletin?;Bericht;
7;Was ist ein Dreispitz?;Männerhut;
7;Was ist ein Heimchen?;Hausgrille;
7;Was ist ein Hermaphrodit?;Zwitter;
7;Was ist eine Krinoline?;Unterrock;
7;Was wird aus geraspelten Süßholzwurzeln gewonnen?;Lakritz;
7;Was wird mit Herbiziden bekämpft?;Unkraut;
7;Welche der folgenden Inseln gehört nicht zu Italien?;Korsika;
7;Welche dieser Hautkrankheiten wird durch Milben hervorgerufen?;Krätze;
7;Welche Gattin eines US-Präsidenten rief eine Stiftung zur Therapie von Alkoholkranken ins Leben?;Betty Ford;
7;Welche Linien verbinden auf Wetterkarten Punkte mit gleichem Luftdruck?;Isobaren;
7;Welche Meerenge verbindet als Teil des Ärmelkanals den Atlantischen Ozean mit der Nordsee?;Straße von Dover;
7;Welche Tiere gehören nicht zu den Paarhufern?;Pferde;
7;Welche Zutat verleiht Tonicwater seine Bitterkeit?;Chinin;
7;Welchen Bootstyp besang Bernd Clüver in Der Junge mit der Mundharmonika?;Barke;
7;Welchen weltberühmten Roman schrieb der griechische Schriftsteller Nikos Kazantzakis?;Alexis Sorbas;
7;Welcher amerikanische Schriftsteller erfand die Detektivfigur Lew Archer?;Ros Macdonald;
7;Welcher dieser Sätze bedeutet im Zweifel für den Angeklagten?;in dubio pro reo;
7;Welcher Komponist konnte seinen Namen buchstabengetreu in Musiknoten darstellen?;Bach;
7;Welcher oft geschmähte Fussballstar wechselte im Jahr 2000 von Borussia Dortmund zu Schalke?;Andy Möller;
7;Welcher Pop-Star verwandelte sich zum Beispiel in den Thin White Duke und Ziggy Stardust?;David Bowie;
7;Welcher Zucker wird als Laktose bezeichnet?;Milchzucker;
7;Welches Bundesland gehört erst seit 1957 zur Bundesrepublik Deutschland?;Saarland;
7;Welches der folgenden Tiere hält keinen Winterschlaf?;Hase;
7;Welches Tier versteckt sich hinter der zoologischen Bezeichnung Bison bonasus?;Wisent;
7;Welches Verfahren erlaubt Speicherung und Reproduktion von Bildern in dreidimensionaler Struktur?;Holographie;
7;Welches war der siebte Monat des Kalenders in der römischen Antike?;September;
7;Wer erfand die Figur des talentierten Mr. Ripley?;Patricia Highsmith;
7;Wer malte das berühmte Bild vom armen Poeten?;Carl Spitzweg;
7;Wer moderiert das ARD-Magazin Monitor?;Klaus Bednarz;
7;Wer schrieb in den 80er jahren den Bestseller So laßt uns denn ein Apfelbäumchen pflanzen?;Hoimar von Ditfurth;
7;Wer spielte in der TV-Serie Die Sopranos den Mafia-Boss, der auf die Psychoanalytiker-Couch muss?;James Gandolfini;
7;Wer war der zweite Mensch auf dem Mond?;Edwin Aldrin;
7;Wer wurde durch seinen Film Der Pate zum international gefeierten Regiestar?;Francis Ford Coppola;
7;Wer wurde im Jahr 2000 zu Schwedens Handballer des Jahrhunderts gekürt?;Magnus Wislander;
7;Wie bezeichnet man 1.048.576 Bytes?;Megabyte;
7;Wie bezeichnet man im Basketball das Fangen des vom Brett abspringenden Balles?;Rebound;
7;Wie bezeichnete die Römer der Kaiserzeit ihre durch Wehrbauten gesicherte Reichsgrenze?;Limes;
7;Wie heißen Vertiefungen der Erdöberfläche, die durch vulkanische Gasexplosionen entstanden sind?;Maar;
7;Wie heißt das 1215 entstandene, wichtigste englische Grundgesetz?;Magna Charta;
7;Wie heißt das 1741 von Kaiserin Maria Theresia gegründete, berühmte Theater in Wien?;Burgtheater;
7;Wie heißt das 1745 bis 1747 erbaute Sommerschloss Friedrichs des Großen in Potsdam?;Sanssouci;
7;Wie heißt der Bandleader in der Harald Schmidt Show?;Helmut Zerlett;
7;Wie heißt der Eisenbahndamm, der Sylt mit der Küste von Schleswig-Holstein verbindet?;Hindenburgdamm;
7;Wie heißt der zweitgrößte Planet unseres Sonnensystems?;Saturn;
7;Wie heißt die größte Stadt Schottlands?;Glasgow;
7;Wie heißt die Hauptstadt des Elsass?;Straßburg;
7;Wie heißt die Meeresstraße zwischen den dänischen Inseln Fünen und Seeland?;Großer Belt;
7;Wie heißt die Währung Israels?;Schekel;
7;Wie heißt Old Shatterhands Pferd?;Hatatitla;
7;Wie hieß das jüngste Mitglied der Beatles?;George Harrison;
7;Wie hieß die Hauptstadt des Byzantinischen Reiches?;Konstantinopel;
7;Wie hieß die zänkische Frau des griechischen Philosophen Sokrates?;Xanthippe;
7;Wie hoch ist der Intelligenzquotient von so genannten normal begabten Menschen?;90 bis 109;
7;Wie nennt man ein gericht aus fein zerkleinertem, gegartem Fleisch oder Innereien?;Haschee;
7;Wie nennt man eine schlecht klingende Folge von Lauten?;Kakophonie;
7;Wie nennt man einen kurzen Spot im Fernsehen oder Radio, der auf spätere Sendungen hinweist?;Trailer;
7;Wie nennt man in vielen Städten und Gemeinden den Leiter der Finanzverwaltung?;Kämmerer;
7;Wie nennt sich der Sänger der Ärzte?;Farin Urlaub;
7;Wieviele Aktienwerte enthält der DAX?;30;
7;Wo haben sich junge Männer zur Bundeswehrmusterung einzufinden?;Kreiswehrersatzamt;
7;Zu welchem Staat gehört die Halbinsel Chalkidike?;Griechenland;
7;Zu welchem Staat gehört die Provinz Flevoland?;Niederlande;
7;Zu welchem Staatsgebiet zählte der Ort Elten bei Emmerich von 1945 - 1963?;Niederlande;
8;Auf welchen Rohstoff deutet die Silbe hall im Namen von Städten hin?;Salz;
8;Aus welchem Roman ist der Titel der Doku-Soap Big Brother entliehen?;1984;
8;Aus wievielen Zähnen besteht das Milchgebiss eines Kindes?;20;
8;Die Coca-Cola-Company forderte einst ihre Käufer auf: Mach mal ...!?;Pause;
8;Die Tochter welches Beatles macht Karriere als Modeschöpferin?;Paul McCartney;
8;In welchem Bundesland befindet sich die Holsteinische Schweiz?;Schleswig-Holstein;
8;In welchem Land regierte Augusto Pinochet?;Chile;
8;In welchem Monat findet alljährlich die Kieler Woche statt?;Juni;
8;In welcher Einheit werden Energie, Arbeit und Wärmemengen angegeben?;Joule;
8;In welcher Stadt wurde der Dichter Heinrich Heine geboren?;Düsseldorf;
8;In welcher Stadt wurde Franz Kafka geboren?;Prag;
8;In welcher Stadt wurde Martin Luther geboren?;Eisleben;
8;Mit welchem Fremdwort bezeichnet man das Zusammentreffen zweier Ereignisse?;Koinzidenz;
8;Mit welchem Kurzbegriff wird Lichtverstärkung durch stimulierte Strahlenemission bezeichnet?;Laser;
8;Mit wem sang Nick Cave Where the wild roses grow?;Kylie Minogue;
8;Mit wem sang und stöhnte Serge Gainsbourg das Lied Je t´aime?;Jane Birkin;
8;Nach einer Festlegung des Internationalen Instituts für Statistik hat eine Großstadt mehr als ...?;100.000 Einwohner;
8;Wann ging in Frankreich das so genannte Ancien Regime  zu Ende?;1789;
8;Was ist ein Klüver?;dreieckiges Vorsegel;
8;Was tat Ödipus, nachdem er erfuhr, wer seine leiblichen Eltern sind?;Verstümmelte sich;
8;Was trägt man, wenn man Flip-Flops anzieht?;Badelatschen;
8;Was versteht man heute unter einem Sermon?;Geschwätz;
8;Was wird -außer einem Blumenstrauß- als Bukett bezeichnet?;Duft des Weines;
8;Welche Comic-Firma wurde mit Figuren wie Spiderman und den Fantastischen Vier berühmt?;Marvel;
8;Welche dieser Gruppen besteht nicht nur aus Frauen?;Aqua;
8;Welche Länder beherrschte die k.u.k.-Monarchie?;Österreich-Ungarn;
8;Welche Schriftstellerin schrieb unter dem Pseudonym Mary Westmacott Liebesromane?;Agatha Christie;
8;Welchen Dosensuppenhersteller verewigte Andy Warhol auf zahlreichen Siebdrucken?;Campbell´s;
8;Welchen Verein löste Bayern München 1987 als Deutscher Rekordmeister ab?;1. FC Nürnberg;
8;Welcher 1990 verstorbene Künstler stellte immer wieder das Baby im Strahlenkranz dar?;Keith Haring;
8;Welcher der folgenden Berge ist nicht über 8000 Meter hoch?;Aconcagua;
8;Welcher der folgenden Romane stammt nicht von Karl May?;Lederstumpf;
8;Welcher deutsche Regiesseur erregte in den 80er Jahren mit seinem Film Das Gespenst Aufsehen?;Herbert Achternbusch;
8;Welcher dieser Stoffe ist ein Bleichmittel?;Wasserstoffperoxid;
8;Welcher Dorfrichter soll in Kleists Komödie im Fall über den Zerbrochenen Krug Recht sprechen?;Adam ;
8;Welcher Heilige soll den Vögeln gepredigt haben?;Franz von Assisi;
8;Welcher italienischen Stadt verdankt die Fayence-Keramik ihren Namen?;Faenza;
8;Welcher Künstler schuf die Skulptur Der Denker?;Rodin;
8;Welcher Leichtathlet wurde 1996 Olympiasieger über 200 und 400 Meter?;Michael Johnson;
8;Welcher Sohn einer berühmten Puppenkünstlerin schrieb die Geschichte vom Urmel aus dem Eis?;Max Kruse;
8;Welches Markenzeichen macht den US-Latenight-Talker Jay Leno unverwechselbar?;ausgeprägtes Kinn;
8;Welches der folgenden Länder liegt nicht an der Donau?;Tschechien;
8;Welches dieser Segel findet man tatsächlich bei einem Segelschiff?;Gaffelsegel;
8;Welches ist die nördlichste Stadt Europas?;Hammerfest;
8;Welches Land lehnte sich im 80-jährigen Krieg gegen die spanische Herrschaft auf?;Niederlande;
8;Welches Land nennt seinen höchsten Berg Grauspitze?;Liechtenstein;
8;Welches Tier verhungerte, weil es sich nicht zwischen zwei Heubüscheln entscheiden konnte?;Buridans Esel;
8;Welches Unternehmen warb mit einer Parodie auf Wer wird Milionär für eines seiner Produkte?;McDonald´s;
8;Wer ist mit über 13.000 gewonnen Rennen der erfolgreichste Trabrennfahrer aller Zeiten?;Heinz Wewering;
8;Wer moderiert die ARD-Nachmittags-Schlager-Show Wunschbox?;Ingo Dubinski;
8;Wer spielt in Spiel mir das Lied vom Tod auf einer Mundharmonika das Lied vom Tod?;Charles Bronson;
8;Wer weigerte sich, das Beichtgeheimnis zu brechen, und wurde deswegen in der Moldau ertränkt?;Johannes von Nepomuk;
8;Wer wurde um 1900 mit seinen Zeichnungen aus dem Berliner Proletarier-Milieu berühmt?;Heinrich Zille;
8;Wie heißt der haustierhafte Staubsauger der Teletubbies?;Nono;
8;Wie heißt die Ehefrau von Tom Cruise?;Nicole Kidman;
8;Wie heißt die Frau von Othello, dem Mohren von Venedig?;Desdemona;
8;Wie heißt die größte Drüse beim Menschen und allen anderen Wirbeltieren?;Leber;
8;Wie heißt die Hauptstadt des Libanon?;Beirut;
8;Wie heißt die Verlobte Hamlets, die wahnsinnig wird und sich in einem Fluß ertränkt?;Ophelia;
8;Wie heißt eine Kraftmaschine, die aus Wasser, Gas oder Dampf mechanische Energie gewinnt?;Turbine;
8;Wie lautet die umgangssprachliche Bezeichnung für eine Aktie mit niedrigem Nennwert?;Babyaktie;
8;Wie nennen sich die Arabisch sprechenden christlichen Nachfahren der alten Ägypter?;Kopten;
8;Wie nennt man die Eishockey-Nationalmannschaft Schwedens?;Dreikronnen-Team;
8;Wie nennt man die Kombination aus Pullover und Jacke?;Twinset;
8;Wie nennt man im Turnen einen Handstützüberschlag rückwärts aus dem Stand heraus?;Flickflack;
8;Wie nennt man in der Mathematik den Schnittpunkt der beiden Schenkel eines Winkels?;Scheitel;
8;Wie nennt sich der Sänger der Bloodhound-Gang?;Jimmy Pop;
